Material,SALDO,C Promedio S/.,COSTO,C Promedio US$,PRECIO PUBLICO
ALAMBRE GALVANIZADO NRO 14 PRODAC                                                                   ,98,7.20,S/ 9.80,2.29,S/ 12.50
ALAMBRE GALVANIZADO NRO 16 PRODAC                                                                   ,85,8.05,S/ 10.50,2.56,S/ 12.50
ALAMBRE GALVANIZADO NRO 20 PRODAC                                                                   ,16,5.86,S/ 6.92,1.86,S/ 10.00
ALAMBRE GALVANIZADO NRO 22 PRODAC                                                                   ,25,8.90,S/ 10.50,2.83,S/ 12.50
ALAMBRE TW#80 14 AWG INDECO                                                                         ,324,0.57,S/ 0.67,0.18,S/ 1.30
ALCOHOL DESINFECTANTE AMERCIA  LT.                                                                  ,4,9.57,S/ 11.29,2.42,S/ 15.00
ALCOHOL DESINFECTANTE GLN                                                                           ,10,25.42,S/ 30.00,8.07,
ALCOHOL DESINFECTANTE LOSARO 900ML                                                                  ,9,9.32,S/ 11.00,2.36,S/ 15.00
ALCOHOL ISOPROPILICO 1LT. LOSARO                                                                    ,9,8.47,S/ 10.00,2.69,S/ 15.00
ALCOHOL ISOPROPILICO 500 ML SAPOLIO                                                                 ,3,8.99,S/ 10.61,2.86,
ALCOHOL ISOPROPILICO 500ML. LOSARO                                                                  ,9,4.66,S/ 5.50,1.48,S/ 8.00
ALCOHOL PURO LOSARO 900ML                                                                           ,32,7.54,S/ 8.90,2.40,S/ 15.00
ALCOHOL RECTIFICADO DERQUSA 900ML                                                                   ,70,6.78,S/ 8.00,2.00,S/ 15.00
"ALICATE CORTE 6"" DJTOOLS",,,,,S/ 14.00
"ALICATE DE CORTE 6"" C & A                                                                           ",5,4.66,S/ 8.00,1.48,
"ALICATE DE CORTE KAMASA  6""                                                                           ",16,8.08,S/ 12.50,2.57,
ALICATE DE ESTUCHE JHONNY TOOLS                                                                     ,2,7.80,S/ 9.20,2.48,
"ALICATE DE PUNTA 6"" C & A                                                                           ",3,4.24,S/ 5.00,1.35,
ALICATE PICO LORO NRO 08 UYUSTOOLDS                                                                 ,3,15.26,S/ 18.01,4.85,S/ 24.00
ALICATE PICO LORO NRO 10 ASAKI                                                                 ,,,S/ 15.50,,S/ 24.00
ALICATE PICO LORO NRO 12 KAMASA                                                                 ,,,S/ 26.30,,S/ 34.00
"ALICATE PINZA 6"" DJTOOLS",,,,,S/ 12.00
"ALICATE PRESION 10"" KAMASA                                                                          ",4,10.49,S/ 12.38,3.33,
"ALICATE PRESION 8"" ADRIANO                                                                          ",,,,,S/ 15.00
ALICATE PRESION DJ,,,S/ 14.00,,S/ 20.00
"ALICATE UNIVERSAL 8""                                                                                ",18,7.51,S/ 9.50,,
"ALICATE UNIVERSAL 8""  KAMASA                                                                        ",5,10.00,S/ 11.80,3.18,
"ALICATE UNIVERSAL 8"" C&A TOOLS                                                                      ",29,6.70,S/ 7.90,2.13,
"ALICATE UNIVERSAL 8"" TRUPPER (17330)                                                                ",3,24.78,S/ 29.24,6.51,
"ALICATE UNIVERSAL 8"" TRUPPER (22674)                                                                ",3,13.68,S/ 16.14,3.59,
ALQUITRAN GLN. DERQUSA                                                                              ,6,10.17,S/ 12.00,2.58,S/ 20.00
ALQUITRAN GLN. LOSARO                                                                               ,9,10.34,S/ 16.00,3.28,S/ 23.00
ALQUITRAN GLN. MARTELL                                                                              ,6,18.47,S/ 21.80,4.68,
AMBIENTADOR  ROSAS 369 ML SAPOLIO                                                                   ,14,4.41,S/ 5.35,1.40,S/ 9.00
AMBIENTADOR BOUQUET 369ML. SAPOLIO                                                                  ,3,3.81,S/ 4.50,1.21,S/ 9.00
AMBIENTADOR LAVANDA  369ML. SAPOLIO                                                                  ,,,S/ 5.35,,S/ 9.00
AMBIENTADOR POTPOURRI DE FLORES 360 ML SAPOLIO                                                      ,18,4.23,S/ 4.99,1.34,
"AMOLADORA INDUSTRIAL 4 1/2"" 900W TRUPER                                                             ",3,138.14,S/ 163.01,43.87,
"AMOLADORA PROFESIONAL 4 1/2"" 700W TRUPER                                                            ",4,82.68,S/ 97.56,26.26,
"AMOLADORA PROFESIONAL 4 1/2"" 800W TRUPER                                                            ",2,96.61,S/ 114.00,30.68,
ANGULO 2 HUECOS PESADOS 2X2                                                                         ,100,0.52,S/ 0.61,0.16,
ANGULO 2 HUECOS PESADOS 3X3                                                                         ,100,0.79,S/ 0.94,0.25,
ANGULO 37.9MM X 1.45MM CRISTALUM                                                                    ,8,24.78,S/ 29.23,7.87,
ANGULO 6X8,,,S/ 38.00,,
"ANILLO 6"" ALCANTARILLADO                                                       ",5,2.54,S/ 3.00,0.81,S/ 6.00
"ANILLO A PRESION ZINC 1/2""                                                                          ",75,0.11,S/ 0.13,0.04,
"ANILLO A PRESION ZINC 1/4""                                                                          ",400,0.03,S/ 0.04,0.01,
"ANILLO A PRESION ZINC 3/8""                                                                          ",120,0.07,S/ 0.08,0.02,
"ANILLO A PRESION ZINC 5/16""                                                                         ",600,0.05,S/ 0.06,0.02,
"ANILLO A PRESION ZINC 5/8""                                                                          ",40,0.21,S/ 0.25,0.07,
ANILLO DE CERA C/CUELLO MAGNUN                                                                      ,,,S/ 3.50,,S/ 8.00
ANILLO DE CERA S/CUELLO MAGNUN                                                                      ,6,1.92,S/ 3.60,0.61,S/ 8.00
APLICADOR P/SILICONA PVC                                                                            ,6,7.63,S/ 9.00,1.93,
"ARANDELA C/PRESION 1/2"" HUACHA                                                                      ",-4,0.00,S/ 0.00,0.00,
ARANDELA MILIMETRICA M-5                                                                            ,1270,0.01,S/ 0.01,0.00,
ARANDELA MILIMETRICA M-6                                                                            ,980,0.01,S/ 0.01,0.00,
"ARANDELA PLANA 1/2"" HUACHA   X KG                                                                         ",-4,0.00,S/ 21.50,0.00,
"ARANDELA PLANA 1/4"" HUACHA  X KG                                                                        ",,,S/ 21.50,,
"ARANDELA PLANA 1/4"" HUACHA  X KG                                                                        ",,,S/ 13.50,,
"ARANDELA PLANA 3/8"" HUACHA    X KG                                                                        ",177,0.04,S/ 21.50,0.01,
"ARANDELA PLANA 5/16"" HUACHA   X KG                                                                        ",-50,0.00,S/ 21.50,0.00,
"ARANDELA PLANA 5/16"" HUACHA   X KG                                                                        ",,,S/ 13.50,,
"ARANDELA PLANA 5/32"" HUACHA                                                                         ",-100,0.00,S/ 0.00,0.00,
"ARANDELA PLANA 5/8"" HUACHA                                                                          ",-4,0.00,S/ 0.00,0.00,
"ARANDELA PLANA 7/16"" HUACHA    X KG                                                                       ",-8,0.00,S/ 21.50,0.00,
"ARANDELA PLANA ZINC 5/16"" HUACHA                                                                    ",-60,0.00,S/ 0.00,0.00,
"ARANDELA PRESION NEGRO 1"" HUACHA                                                                    ",100,0.08,S/ 0.09,0.02,
"ARANDELA PRESION NEGRO 3/8"" HUACHA                                                                  ",-8,0.00,S/ 0.00,0.00,
ARCILLA PREPARADA GRIS 1 KG. DERQUSA                                                                ,4,1.10,S/ 1.30,0.35,
ARCILLA PREPARADA GRIS 1 KG. MARTELL                                                                ,10,1.61,S/ 1.90,0.51,
ARCILLA PREPARADA ROJA 1 KG. DERQUSA                                                                ,10,1.10,S/ 1.30,0.35,
ARCILLA PREPARADA ROJA 1 KG. LOSARO                                                                 ,13,1.08,S/ 1.27,0.34,
"ARCO DE SIERRA AJUSTABLE DE 12"" MARTELL                                                             ",15,5.51,S/ 6.50,1.75,
ARCO DE SIERRA ARTESANAL                                                                       ,11,6.84,S/ 9.00,2.17,S/ 15.00
ARCO DE SIERRA PRETUL                                                                               ,4,10.59,S/ 12.50,3.36,
ARCO DE SIERRA PROFESIONAL 12 TRUPER                                                                ,3,15.14,S/ 19.00,4.81,S/ 30.00
ARENA FINA  CARRET,,,,,S/ 9.00
ARENA FINA  X M3,,,,,S/ 120.00
ARENA GRUESA  CARRET                                                                       ,,,,,S/ 5.00
ARENA GRUESA  X 5M3 OVALO                                                                                    ,,,,,S/ 190.00
ARENA GRUESA  X 5M3 PERALVILLO                                                                                    ,,,,,S/ 170.00
ARENA GRUESA  X M3 OVALO                                                                                    ,,,,,S/ 60.00
ARENA GRUESA  X M3 PERALVILLO                                                                                    ,-13,0.00,,0.00,S/ 50.00
"ARMELLA CERRADA 1 1/2""                                                                              ",188,0.15,S/ 0.18,0.05,
"ARMELLA CERRADA 1""                                                                                  ",-40,0.00,S/ 0.00,0.00,
"ARMELLA CERRADA 1/2""                                                                                ",-12,0.00,S/ 0.00,0.00,
"ARMELLA CERRADA 2""                                                                                  ",100,0.39,S/ 0.46,0.12,
AROMA  ANTITABACO 360ML SAPOLIO                                                                     ,1,4.23,S/ 4.99,1.34,
AROMA ARRULLOS DE BEBE 360 ML SAPOLIO                                                               ,5,4.10,S/ 4.84,1.30,
AROMA LAVANDA 360ML SAPOLIO                                                                         ,8,3.98,S/ 4.69,1.26,
AROMA VAINILLA 360ML SAPOLIO                                                                        ,3,3.97,S/ 4.68,1.26,
ARRANCADORES PHILIPS (CHANCHITO)                                                                    ,49,0.25,S/ 1.00,0.08,
ASIENTO BLANCO IMPERIAL,,,S/ 180.00,,
ASIENTO LIVIANO BONE,,,S/ 13.00,,S/ 18.00
ASIENTO P/INODORO LIVIANO PLASTICO BLANCO ECONOMICO                                                 ,38,2.03,S/ 7.00,0.65,S/ 13.00
AUTOPERFORANTE 10 X 1                                                                               ,500,0.08,S/ 0.10,0.03,
AUTOPERFORANTE 10 X 1 1/2                                                                           ,500,0.09,S/ 0.11,0.03,
AUTOPERFORANTE 8X1                                                                                  ,250,0.10,S/ 0.12,0.03,S/ 0.40
AUTOPERFORANTE 8X1 1/2                                                                              ,400,0.11,S/ 0.01,0.04,S/ 0.50
AUTOPERFORANTE 8X1/2                                                                                ,100,0.09,S/ 0.10,0.03,S/ 0.30
AUTOPERFORANTE 8X3/4                                                                                ,100,0.09,S/ 0.11,0.03,S/ 0.30
AUTOPERFORANTE PAN 8 X 1                                                                            ,1000,0.03,S/ 0.04,0.01,
AUTOPERFORANTE PAN 8 X 1 1/2                                                                        ,1000,0.04,S/ 0.05,0.01,
AUTOPERFORANTE PAN 8 X 3/4                                                                          ,1000,0.03,S/ 0.03,0.01,
"AUTORROSCANTE 1 1/4"" C/PAN 6                                                                        ",-4,0.00,S/ 0.00,0.00,
AUTORROSCANTE CAB. PHILLIPS COMB 10 X 1                                                             ,250,0.13,S/ 0.15,0.04,
"AUTORROSCANTE CAB. PHILLIPS COMB 6 x 1.1/2""                                                         ",250,0.02,S/ 0.02,0.01,
"AUTORROSCANTE CAB. PHILLIPS COMB 6 x 1.1/4""                                                         ",250,0.02,S/ 0.02,0.01,
AUTORROSCANTE CAB. PHILLIPS COMB 8 X 1                                                              ,250,0.09,S/ 0.11,0.03,
"AUTORROSCANTE CAB. PHILLIPS COMB 8 x 1/2""                                                             ",250,0.02,S/ 0.04,0.01,
"AUTORROSCANTE CAB. PHILLIPS COMB 8 x 3/4""                                                             ",,,S/ 0.05,,
AUTORROSCANTE SPACK 6 x 50                                                                          ,-70,0.00,S/ 0.00,0.00,
AZUFRE EN POLVO 1KG. MARTELL                                                                        ,9,5.34,S/ 6.30,1.70,
AZUFRE EN POLVO 250GR. MARTELL                                                                      ,20,1.53,S/ 1.80,0.48,
"BADILEJO CHICO 6""                                                                                   ",13,2.92,S/ 3.44,0.93,
"BADILEJO CHICO 6"" M/M                                                                               ",9,2.54,S/ 3.00,0.81,
"BADILEJO CHICO 7"" M/M KAMASA                                                                          ",,,S/ 5.00,,S/ 8.00
BADILEJO SOLDADO NRO07 TRUPER                                                                       ,12,8.30,S/ 9.79,2.63,
BADILEJO SOLDADO NRO08 TRUPER                                                                       ,6,7.20,S/ 8.50,2.29,
BALDE C/ESCURRIDOR 14LT + MOPA 200G VIRUTEX                                                         ,5,14.02,S/ 16.54,4.45,
BALDEADOR DE 30 CM (ESCOBILLÓN)                                                                     ,7,6.36,S/ 7.50,2.02,
BALDEADOR DE 50 CM (ESCOBILLÓN)                                                                     ,2,7.63,S/ 9.00,2.42,
BALUN NEGRO                                                                                         ,24,1.53,S/ 1.80,,S/ 3.00
BARNIZ  1 GLN. LOSARO                                                                           ,2,25.25,S/ 38.00,8.02,
BARNIZ  1 GLN. TAMSA                                                                           ,5,26.57,S/ 43.00,8.44,
BARNIZ  1/16 GLN. TAMSA                                                                         ,,,S/ 4.50,,
BARNIZ  1/32 GLN. TAMSA                                                                         ,,,S/ 3.50,,
BARNIZ  1/4 GLN. TAMSA                                                                         ,8,7.80,S/ 13.00,2.48,S/ 16.00
BARNIZ  1/8 GLN. TAMSA                                                                         ,8,5.11,S/ 7.50,1.63,S/ 9.00
BARNIZ PARA MADERA CEDRO 1/16 GLN. VELSA                                                            ,2,2.97,S/ 3.50,1.01,
BARNIZ PARA MADERA CEDRO 1/32 GLN. VELSA                                                            ,3,2.12,S/ 2.50,0.72,
"BARRA DE CONSTRUCCION 4,7MM X 8,80 MT AC. AREQ.                                                     ",106,4.53,S/ 5.34,1.15,S/ 7.50
"BARRA DE CONSTRUCCION 5/8"" X 9 MT SIDERPERU                                                         ",154,44.22,S/ 52.18,12.21,
BARRA DE CONSTRUCCION 6MM X 9 MT SIDERPERU                                                          ,39,6.75,S/ 7.96,1.71,
BARRA DE CONSTRUCCION 8MM X 9 MT SIDERPERU                                                          ,-9,12.26,S/ 14.47,3.37,
"BARRA DE CONSTRUCCION ASTM A615 GRADO 60 1"" X 9MT AC. AREQ.                                         ",-7,132.19,S/ 155.98,41.98,
"BARRA DE CONSTRUCCION ASTM A615 GRADO 60 1/2"" X 9MT AC. AREQ.                                       ",6992,33.92,S/ 40.02,8.84,S/ 47.00
BARRA DE CONSTRUCCION ASTM A615 GRADO 60 12MM X 9MT AC. AREQ.                                       ,632,30.91,S/ 36.47,7.82,S/ 42.00
"BARRA DE CONSTRUCCION ASTM A615 GRADO 60 3/4"" X 9MT AC. AREQ.                                       ",-8,69.28,S/ 81.75,26.42,S/ 107.00
"BARRA DE CONSTRUCCION ASTM A615 GRADO 60 3/8"" X 9MT AC. AREQ.                                       ",1403,18.80,S/ 22.18,4.96,S/ 26.50
"BARRA DE CONSTRUCCION ASTM A615 GRADO 60 5/8"" X 9MT AC. AREQ.                                       ",1244,52.25,S/ 61.66,13.64,S/ 71.50
BARRA DE CONSTRUCCION ASTM A615 GRADO 60 6MM X 9MT AC. AREQ.                                        ,-356,7.81,S/ 9.22,1.98,S/ 11.50
BARRA DE CONSTRUCCION ASTM A615 GRADO 60 8MM X 9MT AC. AREQ.                                        ,1845,13.74,S/ 16.22,3.56,S/ 19.50
BARRETA CORRUGADA 1.7MT,,,S/ 22.00,,S/ 28.00
BASE AL ACEITE ROJO OXIDO 1 GLN. TAMSA                                                              ,3,27.68,S/ 46.00,8.79,
BASE AL ACEITE TAMSA GRIS X GLN                                                                     ,5,27.97,S/ 46.00,8.88,
BASE AL ACEITE TAMSA NEGRO X GLN                                                                    ,2,27.97,S/ 46.00,8.88,
BASE ZINCROMATO 1/4 GLN. REYES                                                                      ,-1,0.00,S/ 0.00,0.00,
BASE ZINCROMATO 1/8 GLN. REYES                                                                      ,9,4.66,S/ 5.50,1.48,
BASE ZINCROMATO AUTOMOTRIZ 1 GLN. JHOMERON                                                          ,4,27.12,S/ 32.00,8.61,
BASE ZINCROMATO AUTOMOTRIZ 1/4 GLN. TAMSA                                                           ,12,8.47,S/ 0.00,2.69,
BASE ZINCROMATO INDUSTRIAL  1 GLN. TCOLOR                                                         ,,,S/ 28.00,,
BASE ZINCROMATO INDUSTRIAL  1/4 GLN. TCOLOR                                                         ,44,7.17,S/ 10.00,2.28,
BASE ZINCROMATO INDUSTRIAL 1 GLN. TAMSA                                                             ,-1,0.00,S/ 46.00,0.00,
BASE ZINCROMATO INDUSTRIAL 1/8 GLN. TAMSA                                                           ,-2,0.00,S/ 0.00,0.00,
BATEAS GRANDES                                                                                      ,20,12.79,S/ 35.00,4.06,S/ 45.00
BAYGON ESPIRALES                                                                                    ,288,0.16,S/ 0.19,0.05,
BAYGON RASTRERO SPRAY (360ML) BAYGON                                                                ,5,5.85,S/ 6.90,1.86,
BENCINA 1/2 LT.                                                                                     ,12,3.22,S/ 3.80,0.82,
BENCINA 1/2 LT. LOSARO                                                                              ,13,1.97,S/ 3.43,0.63,S/ 6.00
BENCINA 1LT. MARTELL                                                                             ,-2,0.00,S/ 11.40,0.00,S/ 14.00
"BERBIQUI PROF PERILLA MADERA 12"" TRUPER                                                             ",2,36.86,S/ 43.49,11.70,
"BISAGRA CAPUCHINA ALUM 3 1/2""x 3 1/2"" SIGMA                                                         ",-7,0.00,S/ 0.00,0.00,
"BISAGRA CAPUCHINA ALUM 3""x 3"" SIGMA                                                                 ",-6,0.00,S/ 0.00,0.00,
"BISAGRA CAPUCHINA ALUM 4""x 4"" SIGMA                                                                 ",-2,0.00,S/ 0.00,0.00,
"BISAGRA FIERRO P/SOLDAR 1/2""X4                                                      ",,,S/ 1.70,,
"BISAGRA FIERRO P/SOLDAR 3/8""X4                                                               ",,,S/ 1.45,,
"BISAGRA FIERRO P/SOLDAR 5/8""X4                                                                      ",-3,0.00,S/ 0.00,0.00,
"BISAGRA FIJA ALUMINIZADA 1 1/2""x 1 1/2"" SIGMA                                                       ",-1,0.00,S/ 0.00,0.00,S/ 2.00
"BISAGRA FIJA ALUMINIZADA 2""x 2"" SIGMA                                                               ",-1.5,0.00,S/ 2.00,0.00,S/ 2.50
"BISAGRA FIJA ALUMINIZADA 21/2""x 21/2"" SIGMA                                                               ",,,S/ 2.50,,S/ 3.00
"BISAGRA FIJA ALUMINIZADA 3 ""X 3 "" SIGMA                                                             ",-11,0.00,S/ 2.50,0.00,S/ 4.00
"BISAGRA FIJA ALUMINIZADA 4 ""X 4 "" SIGMA                                                             ",,,S/ 4.00,,S/ 6.00
BISAGRA P/ESCALERA NRO 06                                                                           ,,,S/ 6.00,,
BOLFO PLUS                                                                                          ,14,3.56,S/ 4.20,1.13,S/ 6.00
BOMBA PEDROLLO 1.00HP CPM 620                                                                       ,1,491.53,S/ 580.00,156.09,
BOMBA PEDROLLO 1/2 HP PK 60 PERIFERICA                                                              ,1,190.68,S/ 225.00,60.55,
BORAX DECAHIDRATADO X KG,,,S/ 10.50,,
BORNES P/BATERIA                                                                                    ,98,1.61,S/ 1.90,0.51,
BOYA PARA TANQUE DE AGUA                                                                            ,2,27.97,S/ 33.00,8.88,
BRAQUETE DE 1 X 40 WATT NEWSTAR                                                                     ,24,8.39,S/ 9.90,2.66,
BRAZO DE  DUCHA PVC,,,S/ 1.50,,
"BRIDA DE 1""                                                                                         ",12,1.61,S/ 1.90,0.51,S/ 3.00
"BRIDA DE 3/4""                                                                                       ",12,1.27,S/ 1.50,0.40,S/ 3.50
"BROCA P/CONCRETO 1/2""                                                                               ",-2,0.00,S/ 5.00,0.00,S/ 10.00
"BROCA P/CONCRETO 1/4""                                                                               ",-1,1.10,S/ 3.46,0.35,S/ 5.00
"BROCA P/CONCRETO 1/4"" TRUPER                                                                        ",7,1.34,S/ 1.58,0.43,
"BROCA P/CONCRETO 1/8""                                                                               ",10,1.36,S/ 1.60,0.43,
"BROCA P/CONCRETO 3/16""                                                                              ",10,1.70,S/ 1.98,0.54,S/ 2.50
"BROCA P/CONCRETO 3/8""                                                                               ",39,2.36,S/ 5.00,0.75,S/ 8.00
"BROCA P/CONCRETO 5/16""                                                                              ",24,2.50,S/ 3.00,0.79,S/ 4.50
"BROCA P/CONCRETO 5/32""                                                                              ",-10,1.53,S/ 1.80,0.48,S/ 2.50
"BROCA P/CONCRETO 5/8""                                                                               ",-1,0.00,S/ 7.00,0.00,S/ 13.00
"BROCA P/CONCRETO 7/16""                                                                        ",-1,0.00,S/ 3.00,0.00,
"BROCA P/FIERRO 1/16""                                                                                ",14,0.47,S/ 0.55,0.15,
"BROCA P/FIERRO 1/2""                                                                                 ",-4,0.00,S/ 5.00,0.00,S/ 10.00
"BROCA P/FIERRO 1/4""                                                                                 ",-2,0.00,S/ 2.73,0.00,S/ 4.00
"BROCA P/FIERRO 1/8""                                                                                 ",10,1.19,S/ 1.00,0.38,S/ 2.50
"BROCA P/FIERRO 3/16""                                                                                ",35,1.25,S/ 1.98,0.40,
"BROCA P/FIERRO 3/32""                                                                                ",30,0.77,S/ 0.91,0.24,S/ 2.00
"BROCA P/FIERRO 3/8""                                                                                 ",16,3.71,S/ 4.37,227.95,S/ 8.00
"BROCA P/FIERRO 5/16""                                                                        ",-1,0.00,S/ 4.50,0.00,S/ 6.50
"BROCA P/FIERRO 5/32""                                                                                ",22,1.15,S/ 1.36,0.37,S/ 3.00
"BROCA P/FIERRO 5/64""                                                                                ",10,0.89,S/ 1.05,0.28,S/ 2.00
"BROCA P/FIERRO 7/64""                                                                                ",10,0.98,S/ 1.16,0.31,S/ 2.00
"BROCA P/FIERRO 9/64""                                                                                ",10,1.31,S/ 1.55,0.42,
"BROCA P/MADERA 1/2""                                                                                 ",,,S/ 7.74,,S/ 11.00
