"id","nombre_producto","fecha_creacion","fecha_actualizacion_producto","precio_costo_producto","precio_venta_producto","stock"
31,"ADAPTADOR 1 1/4"" C/R AGUA PLASTICA","2022-07-21 15:40:19.748603","2022-07-21 15:40:19.748608","0","0","0"
32,"ADAPTADOR 1"" C/R AGUA PAVCO","2022-07-21 15:40:19.752141","2022-07-21 15:40:19.752145","2.4","5","0"
40,"ADAPTADOR 2"" C/R AGUA PLASTICA","2022-07-21 15:40:19.784287","2022-07-21 15:40:19.784291","3","0","0"
41,"ADAPTADOR 3/4"" C/R AGUA","2022-07-21 15:40:19.790002","2022-07-21 15:40:19.790008","1.5","2.5","0"
42,"ADAPTADOR 3/4"" C/R AGUA PAVCO","2022-07-21 15:40:19.79344","2022-07-21 15:40:19.793445","1.8","4","0"
43,"ADAPTADOR 3/4"" C/R AGUA PLASTICA","2022-07-21 15:40:19.7968","2022-07-21 15:40:19.796803","0.78","3","0"
44,"ADAPTADOR BUSHI 1/2"" - 1 1/2"" BRONCE","2022-07-21 15:40:19.800774","2022-07-21 15:40:19.800778","4.5","0","0"
45,"ADAPTADOR BUSHING 1/2"" - 1/2"" F/GALVANIZADO","2022-07-21 15:40:19.804074","2022-07-21 15:40:19.804078","0","0","0"
46,"ADAPTADOR BUSHING 1-3/4","2022-07-21 15:40:19.807623","2022-07-21 15:40:19.807627","1.6","0","0"
48,"ADAPTADOR DE TANQUE 1 1/2X2","2022-07-21 15:40:19.814129","2022-07-21 15:40:19.814133","2.7","0","0"
49,"ADAPTADOR DE TANQUE 2X2","2022-07-21 15:40:19.817554","2022-07-21 15:40:19.817558","2.8","0","0"
51,"AFRICANO 1/4 GLN","2022-07-21 15:40:19.824092","2022-07-21 15:40:19.824096","8","0","0"
52,"AFRICANO 1/64 GLN","2022-07-21 15:40:19.827293","2022-07-21 15:40:19.827297","1.5","0","0"
53,"AGUARRAZ MINERAL 1 GLN. DERQUSA","2022-07-21 15:40:19.830404","2022-07-21 15:40:19.830408","13","0","0"
55,"AGUARRAZ MINERAL 1 GLN. MARTELL","2022-07-21 15:40:19.840627","2022-07-21 15:40:19.840631","18.9","0","0"
56,"AGUARRAZ MINERAL 900 ML MARTELL","2022-07-21 15:40:19.843988","2022-07-21 15:40:19.843992","5.5","0","0"
58,"AGUJARRIERO","2022-07-21 15:40:19.850579","2022-07-21 15:40:19.850583","0.63","1","0"
61,"ALAMBRE DE PUAS X ROLLO","2022-07-21 15:40:19.860796","2022-07-21 15:40:19.860799","65","0","0"
63,"ALAMBRE GALVANIZADO NRO 10 PRODAC","2022-07-21 15:40:19.86717","2022-07-21 15:40:19.867174","9","12.55","0"
64,"ALAMBRE GALVANIZADO NRO 14 PRODAC","2022-07-21 15:40:19.872462","2022-07-21 15:40:19.872466","9.8","12.5","0"
66,"ALAMBRE GALVANIZADO NRO 20 PRODAC","2022-07-21 15:40:19.878943","2022-07-21 15:40:19.878947","6.92","10","0"
67,"ALAMBRE GALVANIZADO NRO 22 PRODAC","2022-07-21 15:40:19.88211","2022-07-21 15:40:19.882113","10.5","12.5","0"
68,"ALAMBRE TW#80 14 AWG INDECO","2022-07-21 15:40:19.885717","2022-07-21 15:40:19.885721","0.67","1.3","0"
69,"ALCOHOL DESINFECTANTE AMERCIA  LT.","2022-07-21 15:40:19.889575","2022-07-21 15:40:19.889579","11.29","15","0"
70,"ALCOHOL DESINFECTANTE GLN","2022-07-21 15:40:19.892818","2022-07-21 15:40:19.892822","30","0","0"
71,"ALCOHOL DESINFECTANTE LOSARO 900ML","2022-07-21 15:40:19.896753","2022-07-21 15:40:19.896757","11","15","0"
72,"ALCOHOL ISOPROPILICO 1LT. LOSARO","2022-07-21 15:40:19.900516","2022-07-21 15:40:19.90052","10","15","0"
73,"ALCOHOL ISOPROPILICO 500 ML SAPOLIO","2022-07-21 15:40:19.904082","2022-07-21 15:40:19.904086","10.61","0","0"
74,"ALCOHOL ISOPROPILICO 500ML. LOSARO","2022-07-21 15:40:19.907268","2022-07-21 15:40:19.907272","5.5","8","0"
75,"ALCOHOL PURO LOSARO 900ML","2022-07-21 15:40:19.910404","2022-07-21 15:40:19.910408","8.9","15","0"
76,"ALCOHOL RECTIFICADO DERQUSA 900ML","2022-07-21 15:40:19.913445","2022-07-21 15:40:19.913449","8","15","0"
34,"ADAPTADOR 1/2"" BRONCE GROSSO","2022-07-21 15:40:19.75942","2022-07-21 15:40:19.759426","4.5","0","-3"
47,"ADAPTADOR DE ENCHUFE","2022-07-21 15:40:19.81089","2022-07-21 15:40:19.810895","2.5","4","-1"
65,"ALAMBRE GALVANIZADO NRO 16 PRODAC","2022-07-21 15:40:19.875805","2022-07-21 15:40:19.875809","10.5","12.5","-0.5"
50,"AFRICANO 1/32 GLN","2022-07-21 15:40:19.820817","2022-10-05 21:09:25.882961","5","6.5","12"
33,"ADAPTADOR 1"" C/R AGUA PLASTICA","2022-07-21 15:40:19.755274","2022-07-21 15:40:19.755278","2","3","-2"
28,"ACONDICIONADOR DE METALES 1 LT. MARTELL","2022-07-21 15:40:19.738423","2022-09-01 22:07:13.049044","12.5","17","12"
62,"ALAMBRE GALVANIZADO NRO 08 PRODAC","2022-07-21 15:40:19.864027","2022-07-21 15:40:19.86403","9","12.5","-50"
37,"ADAPTADOR 1/2"" C/R AGUA PAVCO","2022-07-21 15:40:19.774081","2022-10-05 19:59:36.179133","0.9","2.5","199"
57,"AGUARRAZ MINERAL LT LOSARO","2022-07-21 15:40:19.847313","2022-08-03 20:16:17.684769","9","10","1"
59,"ALAMBRE ALBAÑIL RECOCIDO NRO 08","2022-07-21 15:40:19.854256","2022-10-08 16:03:04.78713","5","7.5","1"
14,"ACCESORIO PARA TANQUE INODORO 5/8"" SANI","2022-07-21 15:40:19.68863","2022-07-21 15:40:19.688634","15.5","24","-1"
8,"ABRAZADERA P/TUBO AGUA 1/2"" - 2 OREJAS","2022-07-21 15:40:19.66773","2022-08-04 16:09:57.871206","0.2","0.5","1"
26,"ACONDICIONADOR DE METALES 1 GLN. MARTELL","2022-07-21 15:40:19.731082","2022-09-01 22:08:20.976877","33.5","45","6"
36,"ADAPTADOR 1/2"" C/R AGUA NICOLL","2022-07-21 15:40:19.770854","2022-07-21 15:40:19.77086","0.9","2.5","-66"
30,"ADAPTADOR 1 1/2"" S/R AGUA","2022-07-21 15:40:19.745063","2022-07-21 15:40:19.745068","0","0","-1"
13,"ABRAZADERA P/TUBO LUZ 3/4"" - 2 OREJAS","2022-07-21 15:40:19.685368","2022-08-08 16:00:04.254076","0.2","0.8","1"
27,"ACONDICIONADOR DE METALES 1 LT. DERQUSA","2022-07-21 15:40:19.735249","2022-07-21 15:40:19.735253","10","16","-4"
38,"ADAPTADOR 1/2"" C/R AGUA PLASTICA","2022-07-21 15:40:19.777302","2022-08-04 20:24:36.322514","1","2","-1"
54,"AGUARRAZ MINERAL 1 GLN. LOSARO","2022-07-21 15:40:19.837269","2022-07-21 15:40:19.837273","18.8","25","-2"
23,"ACIDO EXTRAFORTE MURIADER 1 LT. DERQUSA","2022-07-21 15:40:19.720183","2022-07-21 15:40:19.720187","4.5","7","-4"
15,"ACCESORIO PARA TANQUE INODORO 7/8"" SANI","2022-07-21 15:40:19.691928","2022-09-14 20:39:10.291365","14.5","20","6"
35,"ADAPTADOR 1/2"" C/R AGUA","2022-07-21 15:40:19.762768","2022-08-04 20:23:51.091068","0.45","2","-7"
3,"ABRAZADERA P/MANGUERA SIN FIN 3/4""","2022-07-21 15:40:19.650639","2022-07-21 15:40:19.650643","0.25","0","-2"
77,"ALICATE CORTE 6"" DJTOOLS","2022-07-21 15:40:19.91678","2022-07-21 15:40:19.916784","0","14","0"
78,"ALICATE DE CORTE 6"" C & A","2022-07-21 15:40:19.92018","2022-07-21 15:40:19.920184","8","0","0"
79,"ALICATE DE CORTE KAMASA  6""","2022-07-21 15:40:19.92322","2022-07-21 15:40:19.923224","12.5","0","0"
80,"ALICATE DE ESTUCHE JHONNY TOOLS","2022-07-21 15:40:19.927306","2022-07-21 15:40:19.92731","9.2","0","0"
81,"ALICATE DE PUNTA 6"" C & A","2022-07-21 15:40:19.93066","2022-07-21 15:40:19.930665","5","0","0"
82,"ALICATE PICO LORO NRO 08 UYUSTOOLDS","2022-07-21 15:40:19.933774","2022-07-21 15:40:19.933778","18.01","24","0"
83,"ALICATE PICO LORO NRO 10 ASAKI","2022-07-21 15:40:19.936833","2022-07-21 15:40:19.936837","15.5","24","0"
84,"ALICATE PICO LORO NRO 12 KAMASA","2022-07-21 15:40:19.940489","2022-07-21 15:40:19.940495","26.3","34","0"
85,"ALICATE PINZA 6"" DJTOOLS","2022-07-21 15:40:19.943953","2022-07-21 15:40:19.943957","0","12","0"
86,"ALICATE PRESION 10"" KAMASA","2022-07-21 15:40:19.947409","2022-07-21 15:40:19.947413","12.38","0","0"
89,"ALICATE UNIVERSAL 8""","2022-07-21 15:40:19.957021","2022-07-21 15:40:19.957025","9.5","0","0"
90,"ALICATE UNIVERSAL 8""  KAMASA","2022-07-21 15:40:19.960194","2022-07-21 15:40:19.960198","11.8","0","0"
91,"ALICATE UNIVERSAL 8"" C&A TOOLS","2022-07-21 15:40:19.963361","2022-07-21 15:40:19.963365","7.9","0","0"
92,"ALICATE UNIVERSAL 8"" TRUPPER (17330)","2022-07-21 15:40:19.966695","2022-07-21 15:40:19.966698","29.24","0","0"
93,"ALICATE UNIVERSAL 8"" TRUPPER (22674)","2022-07-21 15:40:19.969902","2022-07-21 15:40:19.969906","16.14","0","0"
94,"ALQUITRAN GLN. DERQUSA","2022-07-21 15:40:19.973215","2022-07-21 15:40:19.973219","12","20","0"
95,"ALQUITRAN GLN. LOSARO","2022-07-21 15:40:19.976797","2022-07-21 15:40:19.976801","16","23","0"
96,"ALQUITRAN GLN. MARTELL","2022-07-21 15:40:19.98008","2022-07-21 15:40:19.980084","21.8","0","0"
97,"AMBIENTADOR  ROSAS 369 ML SAPOLIO","2022-07-21 15:40:19.9832","2022-07-21 15:40:19.983204","5.35","9","0"
98,"AMBIENTADOR BOUQUET 369ML. SAPOLIO","2022-07-21 15:40:19.98661","2022-07-21 15:40:19.986615","4.5","9","0"
99,"AMBIENTADOR LAVANDA  369ML. SAPOLIO","2022-07-21 15:40:19.989875","2022-07-21 15:40:19.989878","5.35","9","0"
100,"AMBIENTADOR POTPOURRI DE FLORES 360 ML SAPOLIO","2022-07-21 15:40:19.993377","2022-07-21 15:40:19.993381","4.99","0","0"
101,"AMOLADORA INDUSTRIAL 4 1/2"" 900W TRUPER","2022-07-21 15:40:19.997401","2022-07-21 15:40:19.997406","163.01","0","0"
102,"AMOLADORA PROFESIONAL 4 1/2"" 700W TRUPER","2022-07-21 15:40:20.000967","2022-07-21 15:40:20.000971","97.56","0","0"
103,"AMOLADORA PROFESIONAL 4 1/2"" 800W TRUPER","2022-07-21 15:40:20.004362","2022-07-21 15:40:20.004366","114","0","0"
104,"ANGULO 2 HUECOS PESADOS 2X2","2022-07-21 15:40:20.00771","2022-07-21 15:40:20.007714","0.61","0","0"
105,"ANGULO 2 HUECOS PESADOS 3X3","2022-07-21 15:40:20.012702","2022-07-21 15:40:20.012706","0.94","0","0"
106,"ANGULO 37.9MM X 1.45MM CRISTALUM","2022-07-21 15:40:20.016301","2022-07-21 15:40:20.016307","29.23","0","0"
107,"ANGULO 6X8","2022-07-21 15:40:20.019748","2022-07-21 15:40:20.019753","38","0","0"
108,"ANILLO 6"" ALCANTARILLADO","2022-07-21 15:40:20.023199","2022-07-21 15:40:20.023204","3","6","0"
109,"ANILLO A PRESION ZINC 1/2""","2022-07-21 15:40:20.02799","2022-07-21 15:40:20.027995","0.13","0","0"
110,"ANILLO A PRESION ZINC 1/4""","2022-07-21 15:40:20.031422","2022-07-21 15:40:20.031427","0.04","0","0"
111,"ANILLO A PRESION ZINC 3/8""","2022-07-21 15:40:20.034778","2022-07-21 15:40:20.034783","0.08","0","0"
112,"ANILLO A PRESION ZINC 5/16""","2022-07-21 15:40:20.038815","2022-07-21 15:40:20.03882","0.06","0","0"
113,"ANILLO A PRESION ZINC 5/8""","2022-07-21 15:40:20.042199","2022-07-21 15:40:20.042205","0.25","0","0"
116,"APLICADOR P/SILICONA PVC","2022-07-21 15:40:20.054173","2022-07-21 15:40:20.054199","9","0","0"
117,"ARANDELA C/PRESION 1/2"" HUACHA","2022-07-21 15:40:20.057485","2022-07-21 15:40:20.057489","0","0","0"
118,"ARANDELA MILIMETRICA M-5","2022-07-21 15:40:20.061332","2022-07-21 15:40:20.061337","0.01","0","0"
119,"ARANDELA MILIMETRICA M-6","2022-07-21 15:40:20.068492","2022-07-21 15:40:20.068497","0.01","0","0"
120,"ARANDELA PLANA 1/2"" HUACHA   X KG","2022-07-21 15:40:20.071894","2022-07-21 15:40:20.071899","21.5","0","0"
121,"ARANDELA PLANA 1/4"" HUACHA  X KG","2022-07-21 15:40:20.075235","2022-07-21 15:40:20.07524","21.5","0","0"
122,"ARANDELA PLANA 1/4"" HUACHA  X KG","2022-07-21 15:40:20.079547","2022-07-21 15:40:20.079553","13.5","0","0"
123,"ARANDELA PLANA 3/8"" HUACHA    X KG","2022-07-21 15:40:20.083037","2022-07-21 15:40:20.083043","21.5","0","0"
124,"ARANDELA PLANA 5/16"" HUACHA   X KG","2022-07-21 15:40:20.086531","2022-07-21 15:40:20.086537","21.5","0","0"
125,"ARANDELA PLANA 5/16"" HUACHA   X KG","2022-07-21 15:40:20.090006","2022-07-21 15:40:20.090012","13.5","0","0"
126,"ARANDELA PLANA 5/32"" HUACHA","2022-07-21 15:40:20.093524","2022-07-21 15:40:20.093529","0","0","0"
127,"ARANDELA PLANA 5/8"" HUACHA","2022-07-21 15:40:20.096961","2022-07-21 15:40:20.096966","0","0","0"
128,"ARANDELA PLANA 7/16"" HUACHA    X KG","2022-07-21 15:40:20.100139","2022-07-21 15:40:20.100143","21.5","0","0"
129,"ARANDELA PLANA ZINC 5/16"" HUACHA","2022-07-21 15:40:20.103538","2022-07-21 15:40:20.103543","0","0","0"
130,"ARANDELA PRESION NEGRO 1"" HUACHA","2022-07-21 15:40:20.10818","2022-07-21 15:40:20.108186","0.09","0","0"
131,"ARANDELA PRESION NEGRO 3/8"" HUACHA","2022-07-21 15:40:20.111788","2022-07-21 15:40:20.111793","0","0","0"
132,"ARCILLA PREPARADA GRIS 1 KG. DERQUSA","2022-07-21 15:40:20.115496","2022-07-21 15:40:20.115502","1.3","0","0"
133,"ARCILLA PREPARADA GRIS 1 KG. MARTELL","2022-07-21 15:40:20.119748","2022-07-21 15:40:20.119753","1.9","0","0"
134,"ARCILLA PREPARADA ROJA 1 KG. DERQUSA","2022-07-21 15:40:20.123256","2022-07-21 15:40:20.123261","1.3","0","0"
136,"ARCO DE SIERRA AJUSTABLE DE 12"" MARTELL","2022-07-21 15:40:20.130216","2022-07-21 15:40:20.130221","6.5","0","0"
139,"ARCO DE SIERRA PROFESIONAL 12 TRUPER","2022-07-21 15:40:20.145949","2022-07-21 15:40:20.145955","19","30","0"
147,"ARMELLA CERRADA 1 1/2""","2022-07-21 15:40:20.182536","2022-07-21 15:40:20.182542","0.18","0","0"
148,"ARMELLA CERRADA 1""","2022-07-21 15:40:20.186753","2022-07-21 15:40:20.186759","0","0","0"
149,"ARMELLA CERRADA 1/2""","2022-07-21 15:40:20.190222","2022-07-21 15:40:20.190227","0","0","0"
150,"ARMELLA CERRADA 2""","2022-07-21 15:40:20.193638","2022-07-21 15:40:20.193644","0.46","0","0"
151,"AROMA  ANTITABACO 360ML SAPOLIO","2022-07-21 15:40:20.198748","2022-07-21 15:40:20.198764","4.99","0","0"
152,"AROMA ARRULLOS DE BEBE 360 ML SAPOLIO","2022-07-21 15:40:20.202232","2022-07-21 15:40:20.202238","4.84","0","0"
153,"AROMA LAVANDA 360ML SAPOLIO","2022-07-21 15:40:20.205555","2022-07-21 15:40:20.205561","4.69","0","0"
154,"AROMA VAINILLA 360ML SAPOLIO","2022-07-21 15:40:20.210395","2022-07-21 15:40:20.2104","4.68","0","0"
88,"ALICATE PRESION DJ TOOLS","2022-07-21 15:40:19.953851","2022-08-11 19:59:52.164212","14","20","1"
114,"ANILLO DE CERA C/CUELLO MAGNUN","2022-07-21 15:40:20.047352","2022-07-21 15:40:20.047358","3.5","8","-14"
142,"ARENA GRUESA  CARRET","2022-07-21 15:40:20.161106","2022-07-21 15:40:20.16111","0","5","-7"
135,"ARCILLA PREPARADA ROJA 1 KG. LOSARO","2022-07-21 15:40:20.12675","2022-08-18 14:48:46.955494","1.3","4","1"
87,"ALICATE PRESION 8"" ADRIANO","2022-07-21 15:40:19.950617","2022-07-21 15:40:19.950621","0","15","-1"
138,"ARCO DE SIERRA PRETUL","2022-07-21 15:40:20.138508","2022-07-21 15:40:20.138513","12.5","0","-1"
115,"ANILLO DE CERA S/CUELLO MAGNUN","2022-07-21 15:40:20.050806","2022-08-04 20:06:49.577424","3.9","1","8"
137,"ARCO DE SIERRA ARTESANAL","2022-07-21 15:40:20.13362","2022-07-21 15:40:20.133626","9","15","-2"
146,"ARENA GRUESA  X M3 ","2022-07-21 15:40:20.174717","2022-08-04 19:26:41.578176","1","50","-130.5"
155,"ARRANCADORES PHILIPS (CHANCHITO)","2022-07-21 15:40:20.217369","2022-07-21 15:40:20.217374","1","0","0"
156,"ASIENTO BLANCO IMPERIAL","2022-07-21 15:40:20.222543","2022-07-21 15:40:20.222548","180","0","0"
157,"ASIENTO LIVIANO BONE","2022-07-21 15:40:20.226689","2022-07-21 15:40:20.226694","13","18","0"
160,"AUTOPERFORANTE 10 X 1 1/2","2022-07-21 15:40:20.237118","2022-07-21 15:40:20.237124","0.11","0","0"
162,"AUTOPERFORANTE 8X1 1/2","2022-07-21 15:40:20.244333","2022-07-21 15:40:20.244339","0.01","0.5","0"
163,"AUTOPERFORANTE 8X1/2","2022-07-21 15:40:20.247914","2022-07-21 15:40:20.247919","0.1","0.3","0"
164,"AUTOPERFORANTE 8X3/4","2022-07-21 15:40:20.251497","2022-07-21 15:40:20.251502","0.11","0.3","0"
165,"AUTOPERFORANTE PAN 8 X 1","2022-07-21 15:40:20.254828","2022-07-21 15:40:20.254833","0.04","0","0"
166,"AUTOPERFORANTE PAN 8 X 1 1/2","2022-07-21 15:40:20.26236","2022-07-21 15:40:20.262365","0.05","0","0"
167,"AUTOPERFORANTE PAN 8 X 3/4","2022-07-21 15:40:20.265717","2022-07-21 15:40:20.265723","0.03","0","0"
168,"AUTORROSCANTE 1 1/4"" C/PAN 6","2022-07-21 15:40:20.26908","2022-07-21 15:40:20.269086","0","0","0"
169,"AUTORROSCANTE CAB. PHILLIPS COMB 10 X 1","2022-07-21 15:40:20.273608","2022-07-21 15:40:20.273613","0.15","0","0"
170,"AUTORROSCANTE CAB. PHILLIPS COMB 6 x 1.1/2""","2022-07-21 15:40:20.281266","2022-07-21 15:40:20.281271","0.02","0","0"
171,"AUTORROSCANTE CAB. PHILLIPS COMB 6 x 1.1/4""","2022-07-21 15:40:20.284999","2022-07-21 15:40:20.285004","0.02","0","0"
172,"AUTORROSCANTE CAB. PHILLIPS COMB 8 X 1","2022-07-21 15:40:20.291886","2022-07-21 15:40:20.291892","0.11","0","0"
173,"AUTORROSCANTE CAB. PHILLIPS COMB 8 x 1/2""","2022-07-21 15:40:20.295362","2022-07-21 15:40:20.295366","0.04","0","0"
174,"AUTORROSCANTE CAB. PHILLIPS COMB 8 x 3/4""","2022-07-21 15:40:20.29889","2022-07-21 15:40:20.298895","0.05","0","0"
175,"AUTORROSCANTE SPACK 6 x 50","2022-07-21 15:40:20.302386","2022-07-21 15:40:20.302391","0","0","0"
176,"AZUFRE EN POLVO 1KG. MARTELL","2022-07-21 15:40:20.305752","2022-07-21 15:40:20.305757","6.3","0","0"
177,"AZUFRE EN POLVO 250GR. MARTELL","2022-07-21 15:40:20.309634","2022-07-21 15:40:20.30964","1.8","0","0"
179,"BADILEJO CHICO 6"" M/M","2022-07-21 15:40:20.316746","2022-07-21 15:40:20.316752","3","0","0"
181,"BADILEJO SOLDADO NRO07 TRUPER","2022-07-21 15:40:20.326799","2022-07-21 15:40:20.326805","9.79","0","0"
182,"BADILEJO SOLDADO NRO08 TRUPER","2022-07-21 15:40:20.330497","2022-07-21 15:40:20.330502","8.5","0","0"
183,"BALDE C/ESCURRIDOR 14LT + MOPA 200G VIRUTEX","2022-07-21 15:40:20.333933","2022-07-21 15:40:20.333938","16.54","0","0"
184,"BALDEADOR DE 30 CM (ESCOBILLÓN)","2022-07-21 15:40:20.33736","2022-07-21 15:40:20.337365","7.5","0","0"
185,"BALDEADOR DE 50 CM (ESCOBILLÓN)","2022-07-21 15:40:20.341142","2022-07-21 15:40:20.341148","9","0","0"
186,"BALUN NEGRO","2022-07-21 15:40:20.348434","2022-07-21 15:40:20.348439","1.8","3","0"
187,"BARNIZ  1 GLN. LOSARO","2022-07-21 15:40:20.351974","2022-07-21 15:40:20.351979","38","0","0"
193,"BARNIZ PARA MADERA CEDRO 1/16 GLN. VELSA","2022-07-21 15:40:20.373428","2022-07-21 15:40:20.373434","3.5","0","0"
194,"BARNIZ PARA MADERA CEDRO 1/32 GLN. VELSA","2022-07-21 15:40:20.376916","2022-07-21 15:40:20.376921","2.5","0","0"
207,"BARRETA CORRUGADA 1.7MT","2022-07-21 15:40:20.433763","2022-07-21 15:40:20.433768","22","28","0"
208,"BASE AL ACEITE ROJO OXIDO 1 GLN. TAMSA","2022-07-21 15:40:20.437217","2022-07-21 15:40:20.437223","46","0","0"
209,"BASE AL ACEITE TAMSA GRIS X GLN","2022-07-21 15:40:20.444513","2022-07-21 15:40:20.444519","46","0","0"
210,"BASE AL ACEITE TAMSA NEGRO X GLN","2022-07-21 15:40:20.448285","2022-07-21 15:40:20.448291","46","0","0"
211,"BASE ZINCROMATO 1/4 GLN. REYES","2022-07-21 15:40:20.452507","2022-07-21 15:40:20.452513","0","0","0"
212,"BASE ZINCROMATO 1/8 GLN. REYES","2022-07-21 15:40:20.456133","2022-07-21 15:40:20.456138","5.5","0","0"
213,"BASE ZINCROMATO AUTOMOTRIZ 1 GLN. JHOMERON","2022-07-21 15:40:20.46001","2022-07-21 15:40:20.460015","32","0","0"
214,"BASE ZINCROMATO AUTOMOTRIZ 1/4 GLN. TAMSA","2022-07-21 15:40:20.463545","2022-07-21 15:40:20.46355","0","0","0"
215,"BASE ZINCROMATO INDUSTRIAL  1 GLN. TCOLOR","2022-07-21 15:40:20.467308","2022-07-21 15:40:20.467313","28","0","0"
216,"BASE ZINCROMATO INDUSTRIAL  1/4 GLN. TCOLOR","2022-07-21 15:40:20.475348","2022-07-21 15:40:20.475353","10","0","0"
217,"BASE ZINCROMATO INDUSTRIAL 1 GLN. TAMSA","2022-07-21 15:40:20.483882","2022-07-21 15:40:20.483888","46","0","0"
218,"BASE ZINCROMATO INDUSTRIAL 1/8 GLN. TAMSA","2022-07-21 15:40:20.487495","2022-07-21 15:40:20.487501","0","0","0"
219,"BATEAS GRANDES","2022-07-21 15:40:20.492197","2022-07-21 15:40:20.492202","35","45","0"
220,"BAYGON ESPIRALES","2022-07-21 15:40:20.495793","2022-07-21 15:40:20.495799","0.19","0","0"
221,"BAYGON RASTRERO SPRAY (360ML) BAYGON","2022-07-21 15:40:20.499745","2022-07-21 15:40:20.499749","6.9","0","0"
222,"BENCINA 1/2 LT.","2022-07-21 15:40:20.50323","2022-07-21 15:40:20.503236","3.8","0","0"
223,"BENCINA 1/2 LT. LOSARO","2022-07-21 15:40:20.510408","2022-07-21 15:40:20.510412","3.43","6","0"
224,"BENCINA 1LT. MARTELL","2022-07-21 15:40:20.514409","2022-07-21 15:40:20.514413","11.4","14","0"
225,"BERBIQUI PROF PERILLA MADERA 12"" TRUPER","2022-07-21 15:40:20.517754","2022-07-21 15:40:20.517758","43.49","0","0"
189,"BARNIZ  1/16 GLN. TAMSA","2022-07-21 15:40:20.359394","2022-08-18 14:49:14.271153","4.5","8","1"
188,"BARNIZ TRANSPARENTE 1 GLN. TAMSA","2022-07-21 15:40:20.355903","2022-09-02 21:20:08.988056","43","50","2"
180,"BADILEJO CHICO 7"" M/M KAMASA","2022-07-21 15:40:20.323411","2022-07-21 15:40:20.323417","5","8","-2"
158,"ASIENTO P/INODORO LIVIANO PLASTICO BLANCO ECONOMICO","2022-07-21 15:40:20.230226","2022-07-21 15:40:20.230231","7","13","-2"
201,"FIERRO 12MM AA","2022-07-21 15:40:20.4108","2022-07-22 16:06:29.661447","1","42","-124"
226,"BISAGRA CAPUCHINA ALUM 3 1/2""x 3 1/2"" SIGMA","2022-07-21 15:40:20.521903","2022-08-20 14:41:11.286431","1","7","1"
203,"FIERRO 3/8"" AA","2022-07-21 15:40:20.418203","2022-08-19 14:07:39.436715","1","25.5","-2850"
178,"BADILEJO CHICO 6""","2022-07-21 15:40:20.313038","2022-08-15 15:50:45.2044","3.4","6","1"
